,name,link,compensation,employer_name,employer_link,vacancy_address,pub_date
177,Системный аналитик (применение моделей ML),https://hh.ru/vacancy/45745282?query=Data%20science,Не указано,"Иннотех, Группа компаний",https://hh.ru/employer/4649269,Москва,25 июня
178,Researcher of Network Algorithm and Modeling,https://hh.ru/vacancy/43989459?query=Data%20science,Не указано,HUAWEI,https://hh.ru/employer/2873,Москва,25 июня
179,Python Developer,https://hh.ru/vacancy/41794422?query=Data%20science,Не указано,ЕВРАЗ. ИТ-специалисты,https://hh.ru/employer/19989?dpt=19989-19989-IT,Москва,25 июня
180,Ведущий архитектор данных,https://hh.ru/vacancy/45717462?query=Data%20science,Не указано,X5 RETAIL GROUP,https://hh.ru/employer/4233,Москва,24 июня
181,Исполнительный директор Управления развития инфраструктуры продаж,https://hh.ru/vacancy/45341799?query=Data%20science,Не указано,АО    Россельхозбанк,https://hh.ru/employer/58320,Москва,25 июня
182,Cloud Threat Research Developer,https://hh.ru/vacancy/44846339?query=Data%20science,Не указано,HUAWEI,https://hh.ru/employer/2873,Москва,23 июня
183,Manager - Data Analytics - Forensic Technology Solutions,https://hh.ru/vacancy/45632323?query=Data%20science,Не указано,"PwC, Департамент аудита",https://hh.ru/employer/1201?dpt=pwc-1201-audi,Москва,22 июня
184,Business Product Manager,https://hh.ru/vacancy/45679576?query=Data%20science,Не указано,SkillFactory,https://hh.ru/employer/2869446,Москва,23 июня
185,Software Engineer (Remote),https://hh.ru/vacancy/45694691?query=Data%20science,"('80000', '136000', 'руб.')",Flexhire,https://hh.ru/employer/4644218,Москва,23 июня
186,Software QA Team Lead,https://hh.ru/vacancy/45699429?query=Data%20science,Не указано,WayRay,https://hh.ru/employer/1093327,Москва,24 июня
187,Python developer (middle/middle+),https://hh.ru/vacancy/45680585?query=Data%20science,"('', '250000', 'руб.')",ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва,23 июня
188,Научный сотрудник в области экономики градостроительства,https://hh.ru/vacancy/44517893?query=Data%20science,Не указано,ГАУ НИ и ПИ Градплан города Москвы,https://hh.ru/employer/1971315,Москва,24 июня
189,Руководитель разработки DWH (SQL),https://hh.ru/vacancy/45682622?query=Data%20science,Не указано,СИТИЛИНК,https://hh.ru/employer/3148,Москва,23 июня
190,React.js Full Stack Developer,https://hh.ru/vacancy/45729257?query=Data%20science,Не указано,"Metapix, Inc",https://hh.ru/employer/4883629,Москва,25 июня
191,Интернет-маркетолог (Лидогенерация),https://hh.ru/vacancy/44900423?query=Data%20science,"('80000', '100000', 'руб.')",ООО    Отус,https://hh.ru/employer/2970204,Москва,25 июня
192,Аналитик DWH/BI (Tableau),https://hh.ru/vacancy/44820483?query=Data%20science,Не указано,YADRO,https://hh.ru/employer/1993194,Москва,22 июня
193,Senior Consultant (Management Consulting),https://hh.ru/vacancy/45671596?query=Data%20science,Не указано,ООО    JFL Consulting,https://hh.ru/employer/5258497,Москва,23 июня
194,Системный аналитик,https://hh.ru/vacancy/45660213?query=Data%20science,Не указано,Финансовые Информационные Системы,https://hh.ru/employer/50071,Москва,23 июня
195,Team Lead ML - разработки,https://hh.ru/vacancy/44537116?query=Data%20science,Не указано,Mediascope,https://hh.ru/employer/2739341,Москва,22 июня
196,Product owner AI решений,https://hh.ru/vacancy/45638450?query=Data%20science,Не указано,Крупная производственная компания,,Москва,22 июня
197,C++ Developer,https://hh.ru/vacancy/45639015?query=Data%20science,Не указано,АО    Citibank,https://hh.ru/employer/2383,Москва,22 июня
198,Data Engineering Team Lead,https://hh.ru/vacancy/45600853?query=Data%20science,Не указано,Криптонит,https://hh.ru/employer/3491569,Москва,21 июня
199,Business Insights & Analytics Manager,https://hh.ru/vacancy/45626803?query=Data%20science,Не указано,ANCOR,https://hh.ru/employer/1947314?dpt=1947314-1947314-ancor,Москва,22 июня
200,Инженер по автоматизации тестирования ПО,https://hh.ru/vacancy/44901095?query=Data%20science,Не указано,MixCart,https://hh.ru/employer/2583973,Москва,21 июня
